PayeeCustomerAccount,y,Sales3,Sales14,Sales27,Sales35,Sales36,Sales48,tier3,tier14,tier27,tier35,tier36,tier48,n_zeros,tier_gap,prods,State,City,pct_ret,Florfenicol_Family,Reproduction_Hormones,Total_Bios,All_Other,Panacur_Safeguard,Total_Implants,Zuprevo,Mastitis,Biologicals,Pharmaceuticals,manual_sales,enrol_batch,inh_tier,cluster
0010383646,1,785.77,2748.59,3126.59,4671.91,5393.33,6165.99,0,0,0,0,1,1,0,0.058302415120756027,8,NE,City 7987,-0,1541.77,0,327.3,0,3863.2999999999997,433.62,0,0,0,0,0,3,1,5
0010089105,1,259.2,2437.36,2437.36,2995.67,4307.21,6577.67,0,0,0,0,0,1,1,0.07888744437221862,8,MI,City 5155,-0,0,0,5995.7699999999995,581.9,0,0,0,0,0,0,0,3,1,5
0010230592,3,1220.7,4364.02,11636.03,13550.38,15435.5,26726.44,0,0,1,1,1,2,0,0.06906036241449652,7,MN,City 14517,-0,0,0,371.28,0,677.78,25677.38,0,0,0,0,0,3,2,5
0010139171,2,2638.16,7892.51,7892.51,7892.51,7892.51,7892.51,0,1,1,1,1,1,4,0.14463273163658183,7,PA,City 13523,-0,0,4588.21,778.22,2055.83,0,0,470.25,0,0,0,0,3,2,3
0010013343,2,3646.18,5988.72,7934.46,11707.8,12668.04,14464.92,0,1,1,1,1,1,0,0.4732696634831742,9,CA,City 5480,0.011998158542899257,2901.77,0,10748.49,814.66,0,0,0,0,0,0,0,3,2,5
0010004700,1,1077.14,1077.14,3091.04,3790.04,4976.36,5734.83,0,0,0,0,0,1,1,0.03674333716685834,7,WA,City 7677,-0,0,1631.55,4103.28,0,0,0,0,0,0,0,0,3,1,5
0010016760,1,713.64,2165.84,2165.84,3884.28,5009.74,6595.06,0,0,0,0,1,1,1,0.07975698784939249,5,IN,City 11647,0.018980582091017544,0,569.9,0,1408.3799999999999,4616.78,0,0,0,0,0,0,3,1,5
0010386172,1,550.52,1076.68,1854.8,2235.72,2418.04,3969.5,0,0,0,0,0,0,0,0.7940588117623525,5,IA,City 5949,-0,139,899.5,2931,0,0,0,0,0,0,0,0,3,2,5
0010188270,2,1924.58,4057.64,6349.1,8585.32,11111.56,15674.72,0,0,1,1,1,1,0,0.5337626881344067,6,MI,City 3261,-0,0,11656.2,2412.74,1605.78,0,0,0,0,0,0,0,3,1,5
0010257619,1,0,0,0,2567.84,5332.62,5466.38,0,0,0,0,1,1,3,0.02332016600830042,10,ND,City 12344,-0,0,0,4067.14,0,1335.84,63.4,0,0,0,0,0,35,0,2
0010250507,1,0,0,0,0,0,5020.83,0,0,0,0,0,1,5,0.0010415520776038765,13,IA,City 13790,-0,475.68,2029.5,1445.4,1070.25,0,0,0,0,0,0,1,3,1,1
0010084994,4,6280.82,8208.92,8208.92,14060.12,17318.22,33408.02,1,1,1,1,1,2,1,0.3363342533701347,3,TX,City 13672,-0,28753.02,0,0,0,0,4655,0,0,0,0,0,3,4,2
0010042203,0,846.12,1228.92,1611.72,1866.92,2647.4,2838.8,0,0,0,0,0,0,0,0.567873574714943,4,MD,City 11157,-0,463.32,1977.8,0,397.68,0,0,0,0,0,0,0,3,1,5
0010270025,1,0,0,0,0,0,2495.69,0,0,0,0,0,0,5,0.4992378475695139,3,MI,City 3927,-0,2416.05,0,0,79.64,0,0,0,0,0,0,1,3,0,1
0010348686,1,1997.3,4135.84,6111.52,6797.66,7287.63,8034.74,0,0,1,1,1,1,0,0.15174458722936146,13,IN,City 9821,-0,5428.99,0,1239.4,303.84000000000003,366,598.77,0,0,97.74000000000001,0,0,3,1,5
0010325505,1,0,889.56,928.83,928.83,2651.41,2651.41,0,0,0,0,0,0,3,0.5303880776155231,8,ND,City 4991,-0,278,1310.08,237.04,413.78999999999996,0,0,412.5,0,0,0,0,3,1,6
0010156783,1,169.32,169.32,169.32,169.32,2416.44,2416.44,0,0,0,0,0,0,4,0.4833846769353871,3,GA,City 11465,-0,0,0,169.32,2247.12,0,0,0,0,0,0,0,3,1,6
0010222594,1,0,0,3933.61,4408.77,6191.31,6736.63,0,0,0,0,1,1,2,0.08683584179208961,12,OH,City 8442,-0,0,0,4029.85,1738.78,968,0,0,0,0,0,0,27,0,5
0010197196,1,0,0,0,2451.51,2589.71,2964.23,0,0,0,0,0,0,3,0.5929645929185837,9,ND,City 7806,-0,940.18,0,677.85,393.65,0,0,952.55,0,0,0,0,35,0,2
0010007353,1,40.53,40.53,207.53,5911.9,5995.4,6414.55,0,0,0,1,1,1,1,0.0707310365518276,11,GA,City 1826,0.006466552049935722,0,0,1629.04,0,4785.51,0,0,0,0,0,0,3,1,2
0010402539,1,1984.82,3387.57,5174.81,5213.07,5272.33,5272.33,0,0,1,1,1,1,1,0.01361718085904295,5,KS,City 11911,-0,4121.39,0,1055.29,95.64999999999999,0,0,0,0,0,0,0,3,1,4
0010111981,1,1517.95,3366.55,4916.55,6304.9,7745.65,9122.45,0,0,0,1,1,1,0,0.20613280664033204,6,CO,City 4923,-0,556,5958.55,2449.4,0,0,158.5,0,0,0,0,0,3,1,5
0010332147,1,329.3,329.3,1619.25,2589.1,3398.9,9832.55,0,0,0,0,0,1,1,0.2416395819790989,5,IA,City 5187,0.004847957329878699,0,0,3728.55,0,0,6104,0,0,0,0,0,3,1,2
0010289756,1,658.6,1858.45,2195.93,5019.36,5058.75,5058.75,0,0,0,1,1,1,1,0.0029376468823441174,11,MN,City 5338,0.0595143589638716,980.98,0,4077.77,0,0,0,0,0,0,0,0,3,1,2
0010247686,1,4421.85,5342.85,9947.85,9947.85,10636.4,10636.4,0,1,1,1,1,1,2,0.28183409170458523,4,CO,City 3758,-0,0,0,1589.24,0,0,9047.16,0,0,0,0,0,3,1,4
0010008401,0,0,0,0,0,0,688.72,0,0,0,0,0,0,5,0.1377715543108622,3,MI,City 10278,-0,0,249.72,0,439,0,0,0,0,0,0,1,3,0,1
0010312299,1,5458.68,7229.44,7229.44,16117,17016.9,18770.1,1,1,1,1,1,1,1,0.6885394269713485,12,NE,City 5647,-0,0,4795.65,10728.02,59.19,0,0,3187.24,0,0,0,1,3,1,2
0010184524,1,1318.5,1318.5,1318.5,5247.75,12320.4,12320.4,0,0,0,1,1,1,3,0.36603830191509573,6,CO,City 6888,-0,0,0,1318.5,0,0,11001.9,0,0,0,0,0,3,1,6
0010078930,3,13033,13033,13033,13371.89,13371.89,13371.89,1,1,1,1,1,1,4,0.41861543077153857,4,NE,City 1457,-0,0,0,0,0,338.89,11127.92,1905.08,0,0,0,0,3,2,2
0010244959,1,0,1088.31,1273.85,2270.49,2270.49,2839.64,0,0,0,0,0,0,2,0.5680416083216643,12,PA,City 8348,0.13812926057898348,0,1331.75,375.9,399.24,320.25,0,412.5,0,0,0,0,3,1,5
0010153779,1,0,367.36,452.15,3318.61,3318.61,3368.6,0,0,0,0,0,0,2,0.6738547709541908,7,SD,City 5761,-0,0,0,3064.24,304.36,0,0,0,0,0,0,0,3,1,2
0010182905,1,1571.04,3380.04,5145.48,7038.04,8566.64,9543.72,0,0,1,1,1,1,0,0.22719735986799336,4,CA,City 11229,-0,1652.52,0,0,7891.2,0,0,0,0,0,0,0,3,1,5
0010191514,1,857.47,1604.11,4121.18,4653.26,5591.46,6688.18,0,0,0,0,1,1,0,0.08441322066103307,9,MN,City 10157,-0,0,1914,3500.43,698.34,0,163.06,412.35,0,0,0,0,3,1,5
0010389191,1,0,5649.44,5649.44,5649.44,8449.44,15687.94,0,1,1,1,1,1,3,0.5344237211860593,8,FL,City 376,-0,0,0,5861.9,0,8990,836.04,0,0,0,0,0,3,1,5
0010059307,2,3252.93,6110.35,9024.71,9482.79,9940.87,10398.95,0,1,1,1,1,1,0,0.26996099804990253,4,MO,City 5320,-0,6370.84,0,3157.5099999999998,870.6,0,0,0,0,0,0,0,3,2,5
0010220773,1,4707.84,7803.17,7942.17,8171.98,8171.98,8337.03,0,1,1,1,1,1,1,0.16685984299214965,6,MN,City 608,-0,762.54,0,1329.66,229.81,0,6015.02,0,0,0,0,0,3,2,3
0010251987,2,6659.42,8897.92,13810.86,19224.36,27531.19,27531.19,1,1,1,1,2,2,1,0.10125165006600259,10,MN,City 5522,0.020195276285515498,540.7,0,8088.37,0,2984.4,15917.72,0,0,0,0,0,3,2,5
0010091933,1,9771,11758.02,14865.4,19418.67,21763.44,25244.22,1,1,1,1,1,2,0,0.009769190767630751,5,TX,City 3083,0.19064290811998283,19027.41,0,5467.139999999999,0,0,749.67,0,0,0,0,0,3,2,5
0010321147,1,744,744,744,744,744,6442.84,0,0,0,0,0,1,4,0.07214560728036402,9,NE,City 5774,-0,0,0,2132.8399999999997,33.5,0,4276.5,0,0,0,0,0,3,1,1
0010404754,1,0,2811.56,5722,6871.92,6871.92,6871.92,0,0,1,1,1,1,3,0.09360068003400171,9,NE,City 718,-0,0,700,1928.24,0,0,243,4000.68,0,0,0,0,3,1,4
0010112442,1,1526,3951.3,4847,5384.42,8279.54,9851.34,0,0,0,1,1,1,0,0.24257912895644784,4,WI,City 2479,-0,1970.54,0,0,67.6,0,7813.2,0,0,0,0,0,3,1,5
0010411929,1,510.4,1214.55,2211.99,2300.88,2683.68,3999.46,0,0,0,0,0,0,0,0.8000520104020804,5,KY,City 4954,-0,321.35,2424.4,237.04,0,1016.67,0,0,0,0,0,0,3,1,5
0010268639,1,290.2,290.2,2039.2,3718.2,5500.2,7006.2,0,0,0,0,1,1,1,0.10031501575078754,4,CA,City 13258,-0,0,5520,1486.2,0,0,0,0,0,0,0,0,3,2,5
0010052572,3,3286.74,8606.76,12903.72,20537.59,26408.19,32007.37,0,1,1,1,2,2,0,0.28030601224048957,12,MI,City 3994,0.09252214799313538,278,17339.8,12033.619999999999,1220.4499999999998,0,0,0,0,1135.5,0,0,3,3,5
0010225505,7,34307.08,66654.73,189166.03,219988.63,219988.63,320767.63,2,3,4,5,5,6,1,0.10383866919334599,4,ID,City 6830,-0,237256.3,0,83511.33,0,0,0,0,0,0,0,0,3,6,5
0010218102,4,15030.53,18125.13,26149.98,46600.08,58317.14,60490.14,1,1,2,2,3,3,0,0.2098069961399228,11,IA,City 6253,-0,977.91,0,24993.48,0,4285.6,26263.149999999998,3970,0,0,0,0,3,3,2
0010237451,1,547.42,2435.02,3510.7,4403.08,4575.58,7396.38,0,0,0,0,0,1,0,0.11982499124956249,9,NC,City 2272,-0,1650.5,2024.5000000000002,756.2,2343.68,621.5,0,0,0,0,0,0,3,1,5
0010192180,1,388.37,759.65,1571.32,1571.32,1849.78,2341.77,0,0,0,0,0,0,1,0.46844768953790755,4,NY,City 4745,-0,0,0,1845.6,83.67,0,0,412.5,0,0,0,0,3,1,5
0010354996,1,2685.24,3770.28,5940.36,8427.68,8427.68,9517.68,0,0,1,1,1,1,1,0.22589529476473824,5,WI,City 6659,-0,0,9517.68,0,0,0,0,0,0,0,0,0,3,1,5
0010412060,3,5027.87,8854.2,13373.37,17047.92,19358.76,21738.81,1,1,1,1,1,1,0,0.836982349117456,6,TX,City 5571,0.008727686602180281,0,10873.6,2799.04,8066.17,0,0,0,0,0,0,0,3,3,5
0010261987,2,12514.03,12931.53,14931.87,17349.71,18268.21,18268.21,1,1,1,1,1,1,1,0.6634436721836091,5,OK,City 13435,-0,0,0,2401.98,0,2340.15,0,13526.08,0,0,0,0,3,2,5
0010187424,1,1600.21,1600.21,3947.39,3997.39,5426.86,6885,0,0,0,0,1,1,1,0.09425471273563678,16,IA,City 2004,-0,0,0,2112.46,349.14,0,4070.4,0,0,353,0,0,3,1,5
0010185135,1,6099.62,6099.62,6101.22,6101.22,6101.22,12429.02,1,1,1,1,1,1,3,0.37146957347867393,8,FL,City 707,0.02852136014606938,0,0,4402.5,2392.8,4733,900.72,0,0,0,0,0,3,1,1
0010236923,1,0,3552.1,5056.18,9395.99,11848.12,13393.36,0,0,1,1,1,1,1,0.4196889844492225,5,NC,City 7098,-0,1606.75,0,9242.880000000001,0,0,2543.73,0,0,0,0,0,3,1,5
0010350924,1,3158.07,3284.04,3870.69,4370.43,4370.43,4370.43,0,0,0,0,0,0,2,0.8742608521704341,7,IA,City 423,0.042126926516227445,0,0,3342.12,0,0,1028.31,0,0,0,0,0,3,2,4
0010248936,1,890.55,1828.05,2496.06,3876.9,4313.91,5129.21,0,0,0,0,0,1,0,0.006460823041152059,7,CA,City 4096,-0,278,1378.61,3449.16,23.44,0,0,0,0,0,0,0,3,1,5
0010246564,1,0,0,1634,2240.16,2534.44,2534.44,0,0,0,0,0,0,3,0.506989397879576,9,SD,City 14567,-0,238.66000000000003,0,525.28,0,0,1770.5,0,0,0,0,0,3,1,4
0010012560,1,0,0,1931.04,3825.38,5055.38,5922.23,0,0,0,0,1,1,2,0.04611380569028454,8,GA,City 2643,0.0572744797461967,278,4325.75,0,954.48,364,0,0,0,0,0,0,27,0,5
0010378397,2,12008.69,12668.44,12794.87,24534.24,24534.24,24534.24,1,1,1,1,1,1,2,0.976760838041902,8,IA,City 5229,0.0037107695156507734,0,0,3845.37,0,3110.25,17578.62,0,0,0,0,0,3,2,2
0010222008,1,0,0,7569,7569,7569,7569,0,0,1,1,1,1,5,0.12845642282114106,6,WY,City 12162,-0,0,0,4155,0,2280,1134,0,0,0,0,0,3,1,4
0010292123,3,10435.66,18733.34,30540.58,36656.68,43174,50308.28,1,1,2,2,2,3,0,0.006165723314466266,10,CA,City 4695,-0,0,21250.2,14966.06,13832.82,0,0,0,259.2,0,0,0,3,3,5
0010130614,1,0,3190.27,5190.61,5921.65,5921.65,5921.65,0,0,1,1,1,1,3,0.04608480424021199,9,IA,City 2402,-0,0,0,2030.36,0,677.78,3213.51,0,0,0,0,0,3,1,4
0010011348,0,617.76,617.76,1590.76,1868.76,1868.76,1868.76,0,0,0,0,0,0,3,0.37382676535307063,1,CA,City 10455,-0,1868.76,0,0,0,0,0,0,0,0,0,0,3,2,4
0010221384,6,12544.48,22517.2,32802.46,45934.4,55991.09,64192.71,1,1,2,2,3,3,0,0.2838598771975439,6,TX,City 3378,6.577415164577046e-4,0,19549.600000000002,18626.52,25002.59,0,0,0,0,1014,0,0,3,6,5
0010377033,1,0,0,0,0,0,8198.4,0,0,0,0,0,1,5,0.15992799639981997,1,MN,City 11735,-0,0,0,0,0,0,8198.4,0,0,0,0,1,3,0,1
0010242090,3,13486.2,18514.07,22443.22,22443.22,22443.22,30301.52,1,1,1,1,1,2,2,0.21206928277131087,5,NE,City 2575,-0,0,0,0,459.62,0,29841.9,0,0,0,0,0,3,2,5
0010167936,2,6104,5662.34,7951.34,7951.34,13016.84,14542.84,1,1,1,1,1,1,1,0.47716585829291464,8,SD,City 4830,0.08225932154723327,368,0,829.35,0,0,13345.49,0,0,0,0,0,3,2,5
0010323562,2,0,3244.2,6488.4,8110.5,8110.5,9732.6,0,0,1,1,1,1,2,0.2366418320916046,1,TN,City 4294,0.27027099978406394,9732.6,0,0,0,0,0,0,0,0,0,0,3,2,5
0010349572,5,29283.05,37879.35,53679,62449.11,76390.49,100281.53,2,2,3,3,3,4,0,0.0028153281532815213,25,OK,City 5580,-0,11820.14,0,18553.17,170,28213.88,16246.099999999999,25278.24,0,0,0,0,3,4,5
